Amp training started. 2016-02-26T18:37:25

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 16 cores.

Training on 1021 images.
Hashing images...
 1021 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 7]
 Cu: [2, 7]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1021 of 1021 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-XIfIFb.db.
  Processor 1 calculations stored in file /tmp/fp-YZfsRQ.db.
  Processor 2 calculations stored in file /tmp/fp-aXBdZY.db.
  Processor 3 calculations stored in file /tmp/fp-mtmvV0.db.
  Processor 4 calculations stored in file /tmp/fp-7EElDw.db.
  Processor 5 calculations stored in file /tmp/fp-wIGv9O.db.
  Processor 6 calculations stored in file /tmp/fp-o8X4Xf.db.
  Processor 7 calculations stored in file /tmp/fp-3n5a_r.db.
  Processor 8 calculations stored in file /tmp/fp-0Ik0gQ.db.
  Processor 9 calculations stored in file /tmp/fp-Pzn2e9.db.
  Processor 10 calculations stored in file /tmp/fp-aoJej4.db.
  Processor 11 calculations stored in file /tmp/fp-kAIOPx.db.
  Processor 12 calculations stored in file /tmp/fp-EP6tnM.db.
  Processor 13 calculations stored in file /tmp/fp-O5L8HC.db.
  Processor 14 calculations stored in file /tmp/fp-M6RyKQ.db.
  Processor 15 calculations stored in file /tmp/fp-lJQqdQ.db.
 Calculated 1021 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ./fingerprints.db. 0.4 min.
 ...all fingerprint operations complete. 0.9 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
   65 61.46 36.44 -0.59 -1.41 2.27 0.79 True(75)
   66 61.34 86.47 -1.41 -0.59 0.44 0.53 False(74)
   67 61.21 84.42 -1.38 -0.60 0.46 0.93 False(73)
   68 61.09 19.08 -0.31 -0.60 1.33 0.18 True(73)
   69 60.97 19.65 -0.32 -0.31 0.99 0.35 True(74)
   70 60.85 14.51 -0.24 -0.32 1.09 0.68 True(74)
   71 60.72 13.05 -0.21 -0.24 1.02 0.01 True(75)
   72 60.60 26.06 -0.43 -0.22 0.81 0.22 True(75)
   73 60.48 71.92 -1.19 -0.43 0.47 0.05 True(75)
   74 60.36 36.02 -0.60 -1.19 1.81 0.27 True(76)
   75 60.24 36.46 -0.61 -0.60 0.99 0.86 True(76)
   76 60.12 40.67 -0.68 -0.61 0.93 0.99 False(75)
   77 60.00 34.84 -0.58 -0.61 1.03 0.62 True(75)
   78 59.88 27.05 -0.45 -0.58 1.14 0.37 True(75)
   79 59.76 16.74 -0.28 -0.45 1.19 0.72 True(76)
   80 59.64 16.97 -0.28 -0.28 1.00 0.08 True(76)
   81 59.52 43.69 -0.73 -0.29 0.64 0.02 True(76)
   82 59.40 27.00 -0.45 -0.74 1.32 0.05 True(77)
   83 59.28 83.35 -1.41 -0.46 0.39 0.47 False(76)
   84 59.16 164.93 -2.79 -0.46 0.10 0.75 False(75)
   85 59.05 11.17 -0.19 -0.46 1.31 0.12 True(75)
   86 58.93 25.97 -0.44 -0.19 0.78 0.48 True(75)
   87 58.81 86.58 -1.47 -0.44 0.36 0.37 False(75)
   88 58.69 19.98 -0.34 -0.44 1.11 0.36 True(75)
   89 58.58 10.88 -0.19 -0.34 1.17 0.07 True(75)
   90 58.46 27.93 -0.48 -0.19 0.75 0.77 False(74)
   91 58.34 13.56 -0.23 -0.19 0.96 0.90 True(75)
   92 58.22 12.94 -0.22 -0.23 1.01 0.65 True(75)
   93 58.11 31.42 -0.54 -0.22 0.73 0.18 True(75)
   94 57.99 52.75 -0.91 -0.54 0.69 0.47 True(75)
   95 57.88 35.10 -0.61 -0.91 1.36 0.65 True(76)
   96 57.76 32.86 -0.57 -0.61 1.04 0.63 True(76)
   97 57.64 33.62 -0.58 -0.57 0.99 0.94 True(76)
   98 57.53 29.70 -0.52 -0.58 1.07 0.52 True(76)
   99 57.41 37.55 -0.65 -0.52 0.87 0.61 True(77)
  100 57.30 29.56 -0.52 -0.66 1.15 0.19 True(77)
  101 57.19 34.61 -0.61 -0.52 0.92 0.30 True(77)
  102 57.07 47.76 -0.84 -0.61 0.79 0.39 True(77)
  103 56.96 28.37 -0.50 -0.84 1.41 0.88 True(77)
  104 56.84 28.57 -0.50 -0.50 1.00 0.73 True(78)
  105 56.73 33.29 -0.59 -0.50 0.92 0.26 True(78)
  106 56.62 21.71 -0.38 -0.59 1.23 0.89 True(78)
  107 56.50 19.09 -0.34 -0.38 1.05 0.32 True(78)
  108 56.39 51.87 -0.92 -0.34 0.56 0.90 False(77)
  109 56.28 14.72 -0.26 -0.34 1.08 0.71 True(78)
  110 56.16 15.22 -0.27 -0.26 0.99 0.55 True(78)
  111 56.05 34.04 -0.61 -0.27 0.71 0.65 True(78)
  112 55.94 39.55 -0.71 -0.61 0.91 0.54 True(78)
  113 55.83 30.42 -0.54 -0.71 1.18 0.22 True(78)
  114 55.72 65.05 -1.17 -0.55 0.54 0.15 True(79)
  115 55.60 34.47 -0.62 -1.17 1.73 0.75 True(79)
  116 55.49 22.06 -0.40 -0.62 1.25 0.77 True(79)
  117 55.38 36.00 -0.65 -0.40 0.78 0.96 False(78)
  118 55.27 116.54 -2.11 -0.40 0.18 0.77 False(78)
  119 55.16 15.58 -0.28 -0.40 1.12 0.76 True(78)
  120 55.05 17.51 -0.32 -0.28 0.97 0.13 True(78)
  121 54.94 80.18 -1.46 -0.32 0.32 0.51 False(77)
  122 54.83 27.29 -0.50 -0.32 0.84 0.58 True(78)
  123 54.72 18.54 -0.34 -0.50 1.17 0.43 True(78)
  124 54.61 56.99 -1.04 -0.34 0.49 0.56 False(77)
  125 54.50 23.90 -0.44 -0.34 0.91 0.98 False(76)
  126 54.39 29.43 -0.54 -0.34 0.82 0.57 True(77)
  127 54.28 85.69 -1.58 -0.54 0.35 0.39 False(76)
  128 54.18 21.32 -0.39 -0.54 1.16 0.22 True(76)
  129 54.07 36.82 -0.68 -0.39 0.75 0.76 False(76)
  130 53.96 26.85 -0.50 -0.40 0.90 0.39 True(76)
  131 53.85 27.81 -0.52 -0.50 0.98 0.22 True(76)
  132 53.74 37.90 -0.71 -0.52 0.83 0.65 True(76)
  133 53.64 11.14 -0.21 -0.71 1.65 0.29 True(76)
  134 53.53 10.15 -0.19 -0.21 1.02 0.64 True(77)
  135 53.42 18.91 -0.35 -0.19 0.85 0.38 True(77)
  136 53.32 24.87 -0.47 -0.35 0.89 0.32 True(77)
  137 53.21 27.92 -0.52 -0.47 0.94 0.37 True(77)
  138 53.10 11.72 -0.22 -0.53 1.36 0.48 True(77)
  139 53.00 21.48 -0.41 -0.22 0.83 0.76 True(77)
  140 52.89 10.95 -0.21 -0.41 1.22 0.41 True(78)
  141 52.78 15.48 -0.29 -0.21 0.92 0.54 True(78)
  142 52.68 28.17 -0.53 -0.29 0.79 0.83 False(77)
  143 52.57 30.93 -0.59 -0.29 0.75 0.07 True(77)
  144 52.47 32.91 -0.63 -0.59 0.96 0.80 True(77)
  145 52.36 66.84 -1.28 -0.63 0.52 0.67 False(77)
  146 52.26 50.96 -0.98 -0.63 0.71 0.16 True(77)
  147 52.15 34.15 -0.65 -0.98 1.38 0.43 True(77)
  148 52.05 28.67 -0.55 -0.66 1.11 0.20 True(77)
  149 51.95 37.41 -0.72 -0.55 0.85 0.56 True(78)
