Neural: BP training started. 2015-07-28T19:52:09
Parallel processing over 32 cores.

Training on 1352 images.
Hashing images...
 1352 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (4, 30)
 Cu: (4, 30)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 1352 entries.
 Calculating 0 of 1352 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1352 fingerprints. (1352 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1352 fingerprint derivatives. (1352 exist in file.)
 ...all fingerprint operations complete. 0.1 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-28T19:52:22  7.260e+03  2.316e+00  4.372e-01
    1  2015-07-28T19:52:23  1.126e+10  2.886e+03  4.337e-01
    2  2015-07-28T19:52:24  5.422e+05  2.003e+01  4.337e-01
    3  2015-07-28T19:52:25  3.581e+04  5.146e+00  4.337e-01
    4  2015-07-28T19:52:26  6.325e+03  2.161e+00  4.337e-01
    5  2015-07-28T19:52:28  4.607e+03  1.844e+00  4.337e-01
    6  2015-07-28T19:52:29  9.929e+03  2.708e+00  5.718e-01
    7  2015-07-28T19:52:31  3.244e+03  1.547e+00  4.337e-01
    8  2015-07-28T19:52:32  3.880e+03  1.691e+00  5.445e-01
    9  2015-07-28T19:52:33  1.284e+03  9.665e-01  6.254e-01
   10  2015-07-28T19:52:35  1.728e+04  3.571e+00  8.123e-01
   11  2015-07-28T19:52:36  1.136e+03  9.093e-01  5.855e-01
   12  2015-07-28T19:52:38  6.107e+03  2.120e+00  7.236e-01
   13  2015-07-28T19:52:39  1.132e+03  9.077e-01  5.824e-01
   14  2015-07-28T19:52:40  1.127e+03  9.057e-01  5.808e-01
   15  2015-07-28T19:52:41  3.671e+03  1.642e+00  6.896e-01
   16  2015-07-28T19:52:43  1.118e+03  9.018e-01  5.820e-01
   17  2015-07-28T19:52:44  1.098e+03  8.935e-01  5.882e-01
   18  2015-07-28T19:52:45  4.344e+02  5.516e-01  6.516e-01
   19  2015-07-28T19:52:46  1.018e+03  8.590e-01  6.069e-01
   20  2015-07-28T19:52:48  3.590e+02  4.979e-01  6.636e-01
   21  2015-07-28T19:52:49  3.553e+02  4.953e-01  6.619e-01
   22  2015-07-28T19:52:50  1.565e+04  3.401e+00  4.326e-01
   23  2015-07-28T19:52:52  5.623e+02  6.302e-01  6.838e-01
   24  2015-07-28T19:52:53  3.535e+02  4.943e-01  6.543e-01
   25  2015-07-28T19:52:54  3.500e+02  4.923e-01  6.437e-01
   26  2015-07-28T19:52:56  3.428e+02  4.871e-01  6.376e-01
   27  2015-07-28T19:52:57  3.357e+02  4.824e-01  6.243e-01
   28  2015-07-28T19:52:59  3.317e+02  4.789e-01  6.312e-01
   29  2015-07-28T19:53:00  2.987e+02  4.579e-01  5.304e-01
   30  2015-07-28T19:53:01  3.111e+02  4.642e-01  6.041e-01
   31  2015-07-28T19:53:03  2.973e+02  4.560e-01  5.477e-01
   32  2015-07-28T19:53:04  1.086e+03  8.523e-01  1.387e+00
   33  2015-07-28T19:53:05  2.951e+02  4.543e-01  5.449e-01
   34  2015-07-28T19:53:07  2.918e+02  4.505e-01  5.668e-01
   35  2015-07-28T19:53:09  2.857e+02  4.463e-01  5.511e-01
   36  2015-07-28T19:53:10  2.743e+02  4.385e-01  5.155e-01
   37  2015-07-28T19:53:12  2.525e+02  4.223e-01  4.588e-01
   38  2015-07-28T19:53:13  2.175e+02  3.939e-01  3.769e-01
   39  2015-07-28T19:53:14  1.608e+02  3.327e-01  4.536e-01
   40  2015-07-28T19:53:16  5.451e+02  4.568e-01  2.205e+00
   41  2015-07-28T19:53:17  1.519e+02  3.228e-01  4.524e-01
   42  2015-07-28T19:53:18  1.433e+02  3.127e-01  4.522e-01
   43  2015-07-28T19:53:20  2.227e+02  3.924e-01  5.192e-01
   44  2015-07-28T19:53:21  1.420e+02  3.109e-01  4.584e-01
   45  2015-07-28T19:53:22  1.396e+02  3.076e-01  4.650e-01
   46  2015-07-28T19:53:24  1.347e+02  3.025e-01  4.510e-01
   47  2015-07-28T19:53:25  1.241e+02  2.911e-01  4.182e-01
   48  2015-07-28T19:53:26  1.070e+02  2.597e-01  5.400e-01
   49  2015-07-28T19:53:28  1.100e+02  2.720e-01  4.290e-01
   50  2015-07-28T19:53:29  1.008e+02  2.578e-01  4.499e-01
   51  2015-07-28T19:53:30  9.580e+01  2.498e-01  4.600e-01
   52  2015-07-28T19:53:32  8.961e+01  2.416e-01  4.447e-01
   53  2015-07-28T19:53:33  8.865e+01  2.388e-01  4.622e-01
   54  2015-07-28T19:53:34  8.786e+01  2.375e-01  4.630e-01
   55  2015-07-28T19:53:36  8.646e+01  2.353e-01  4.633e-01
   56  2015-07-28T19:53:37  8.357e+01  2.312e-01  4.570e-01
   57  2015-07-28T19:53:38  7.208e+01  2.141e-01  4.325e-01
   58  2015-07-28T19:53:39  8.811e+01  2.431e-01  3.892e-01
   59  2015-07-28T19:53:40  6.511e+01  2.037e-01  4.083e-01
   60  2015-07-28T19:53:42  6.135e+01  1.971e-01  4.039e-01
   61  2015-07-28T19:53:43  5.546e+01  1.848e-01  4.141e-01
   62  2015-07-28T19:53:44  5.301e+01  1.779e-01  4.347e-01
   63  2015-07-28T19:53:45  5.124e+01  1.756e-01  4.202e-01
   64  2015-07-28T19:53:47  5.470e+01  1.839e-01  4.070e-01
   65  2015-07-28T19:53:48  4.983e+01  1.732e-01  4.136e-01
   66  2015-07-28T19:53:49  4.800e+01  1.683e-01  4.241e-01
   67  2015-07-28T19:53:50  4.541e+01  1.614e-01  4.340e-01
   68  2015-07-28T19:53:52  4.575e+01  1.637e-01  4.198e-01
   69  2015-07-28T19:53:53  4.425e+01  1.597e-01  4.246e-01
   70  2015-07-28T19:53:54  4.302e+01  1.557e-01  4.350e-01
   71  2015-07-28T19:53:56  4.188e+01  1.546e-01  4.202e-01
   72  2015-07-28T19:53:57  3.984e+01  1.509e-01  4.089e-01
   73  2015-07-28T19:53:58  3.811e+01  1.484e-01  3.923e-01
   74  2015-07-28T19:54:00  3.591e+01  1.405e-01  4.132e-01
   75  2015-07-28T19:54:01  3.357e+01  1.327e-01  4.246e-01
   76  2015-07-28T19:54:03  4.947e+01  1.739e-01  3.983e-01
   77  2015-07-28T19:54:04  3.311e+01  1.323e-01  4.179e-01
   78  2015-07-28T19:54:05  3.231e+01  1.302e-01  4.169e-01
   79  2015-07-28T19:54:07  3.087e+01  1.271e-01  4.086e-01
   80  2015-07-28T19:54:08  2.837e+01  1.197e-01  4.079e-01
   81  2015-07-28T19:54:10  2.656e+01  1.146e-01  4.034e-01
   82  2015-07-28T19:54:11  2.472e+01  1.074e-01  4.108e-01
   83  2015-07-28T19:54:12  3.120e+01  1.280e-01  4.088e-01
   84  2015-07-28T19:54:13  2.406e+01  1.052e-01  4.101e-01
   85  2015-07-28T19:54:15  2.304e+01  1.031e-01  4.005e-01
   86  2015-07-28T19:54:16  2.174e+01  9.711e-02  4.076e-01
   87  2015-07-28T19:54:17  2.089e+01  9.409e-02  4.062e-01
   88  2015-07-28T19:54:19  1.953e+01  8.944e-02  4.015e-01
   89  2015-07-28T19:54:20  1.774e+01  8.528e-02  3.825e-01
   90  2015-07-28T19:54:21  1.762e+01  8.825e-02  3.621e-01
   91  2015-07-28T19:54:22  1.671e+01  8.266e-02  3.717e-01
   92  2015-07-28T19:54:24  1.550e+01  7.919e-02  3.604e-01
   93  2015-07-28T19:54:25  1.475e+01  7.553e-02  3.607e-01
   94  2015-07-28T19:54:26  1.402e+01  7.394e-02  3.501e-01
   95  2015-07-28T19:54:28  1.303e+01  6.926e-02  3.480e-01
   96  2015-07-28T19:54:29  1.338e+01  7.121e-02  3.474e-01
   97  2015-07-28T19:54:31  1.255e+01  6.792e-02  3.416e-01
   98  2015-07-28T19:54:32  1.199e+01  6.590e-02  3.365e-01
   99  2015-07-28T19:54:33  1.186e+01  6.651e-02  3.298e-01
Saving checkpoint data.
  100  2015-07-28T19:54:35  1.164e+01  6.463e-02  3.329e-01
  101  2015-07-28T19:54:36  1.127e+01  6.369e-02  3.271e-01
  102  2015-07-28T19:54:37  1.085e+01  6.244e-02  3.212e-01
  103  2015-07-28T19:54:39  1.067e+01  6.128e-02  3.217e-01
  104  2015-07-28T19:54:40  1.035e+01  5.959e-02  3.204e-01
  105  2015-07-28T19:54:41  9.865e+00  5.711e-02  3.176e-01
  106  2015-07-28T19:54:42  9.169e+00  5.362e-02  3.125e-01
  107  2015-07-28T19:54:44  8.930e+00  5.300e-02  3.081e-01
  108  2015-07-28T19:54:45  8.700e+00  5.149e-02  3.076e-01
  109  2015-07-28T19:54:46  8.756e+00  5.338e-02  3.011e-01
  110  2015-07-28T19:54:47  8.437e+00  5.042e-02  3.041e-01
  111  2015-07-28T19:54:49  8.311e+00  5.090e-02  2.981e-01
  112  2015-07-28T19:54:50  8.107e+00  5.042e-02  2.938e-01
  113  2015-07-28T19:54:51  7.853e+00  4.989e-02  2.881e-01
  114  2015-07-28T19:54:53  7.538e+00  4.866e-02  2.832e-01
  115  2015-07-28T19:54:54  7.323e+00  4.788e-02  2.795e-01
  116  2015-07-28T19:54:56  7.064e+00  4.710e-02  2.742e-01
  117  2015-07-28T19:54:57  6.877e+00  4.739e-02  2.665e-01
  118  2015-07-28T19:54:58  6.827e+00  4.818e-02  2.612e-01
  119  2015-07-28T19:54:59  6.734e+00  4.768e-02  2.602e-01
  120  2015-07-28T19:55:00  6.581e+00  4.699e-02  2.578e-01
  121  2015-07-28T19:55:02  6.451e+00  4.647e-02  2.555e-01
  122  2015-07-28T19:55:03  6.324e+00  4.591e-02  2.535e-01
  123  2015-07-28T19:55:04  6.101e+00  4.452e-02  2.515e-01
  124  2015-07-28T19:55:06  5.922e+00  4.313e-02  2.510e-01
  125  2015-07-28T19:55:07  5.781e+00  4.233e-02  2.492e-01
  126  2015-07-28T19:55:08  5.833e+00  4.255e-02  2.502e-01
  127  2015-07-28T19:55:10  5.715e+00  4.169e-02  2.494e-01
  128  2015-07-28T19:55:11  5.612e+00  4.132e-02  2.472e-01
  129  2015-07-28T19:55:12  5.448e+00  4.053e-02  2.443e-01
  130  2015-07-28T19:55:14  5.202e+00  4.015e-02  2.364e-01
  131  2015-07-28T19:55:15  5.167e+00  4.094e-02  2.316e-01
