Neural: BP training started. 2015-09-04T15:30:15
Parallel processing over 48 cores.

Training on 2985 images.
Hashing images...
 2985 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (2, 25)
 Cu: (2, 25)
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 2985 entries.
 Calculating 0 of 2985 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 2985 fingerprints. (2985 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.1 min.
 Calculating 0 of 2985 fingerprint derivatives. (2985 exist in file.)
 ...all fingerprint operations complete. 0.2 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.1 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-09-04T15:31:09  1.401e+04  2.163e+00  6.317e-01
    1  2015-09-04T15:31:18  8.924e+10  5.468e+03  6.290e-01
    2  2015-09-04T15:31:27  1.032e+06  1.859e+01  6.290e-01
    3  2015-09-04T15:31:37  7.483e+04  5.005e+00  6.290e-01
    4  2015-09-04T15:31:46  1.687e+04  2.374e+00  6.272e-01
    5  2015-09-04T15:31:57  6.937e+03  1.519e+00  6.152e-01
    6  2015-09-04T15:32:07  7.785e+03  1.611e+00  5.962e-01
    7  2015-09-04T15:32:17  4.291e+03  1.193e+00  5.932e-01
    8  2015-09-04T15:32:27  5.313e+03  1.328e+00  6.275e-01
    9  2015-09-04T15:32:38  4.003e+03  1.151e+00  6.356e-01
   10  2015-09-04T15:32:48  4.009e+03  1.153e+00  5.879e-01
   11  2015-09-04T15:32:57  3.641e+03  1.098e+00  6.062e-01
   12  2015-09-04T15:33:07  4.094e+03  1.165e+00  6.064e-01
   13  2015-09-04T15:33:16  3.606e+03  1.093e+00  5.716e-01
   14  2015-09-04T15:33:26  3.558e+03  1.087e+00  5.053e-01
   15  2015-09-04T15:33:35  3.570e+03  1.089e+00  4.848e-01
   16  2015-09-04T15:33:45  3.525e+03  1.082e+00  4.847e-01
   17  2015-09-04T15:33:54  3.477e+03  1.075e+00  4.680e-01
   18  2015-09-04T15:34:04  3.415e+03  1.065e+00  5.037e-01
   19  2015-09-04T15:34:15  3.165e+03  1.024e+00  5.644e-01
   20  2015-09-04T15:34:26  6.123e+03  1.372e+00  2.055e+00
   21  2015-09-04T15:34:36  3.169e+03  1.023e+00  6.026e-01
   22  2015-09-04T15:34:46  3.161e+03  1.023e+00  5.800e-01
   23  2015-09-04T15:34:54  3.152e+03  1.020e+00  6.137e-01
   24  2015-09-04T15:35:05  3.100e+03  1.007e+00  7.923e-01
   25  2015-09-04T15:35:15  3.550e+03  1.055e+00  1.375e+00
   26  2015-09-04T15:35:24  3.063e+03  9.962e-01  9.197e-01
   27  2015-09-04T15:35:34  3.055e+03  9.923e-01  9.853e-01
   28  2015-09-04T15:35:44  4.197e+03  1.126e+00  1.856e+00
   29  2015-09-04T15:35:53  3.049e+03  9.884e-01  1.055e+00
   30  2015-09-04T15:36:04  3.051e+03  9.862e-01  1.112e+00
   31  2015-09-04T15:36:15  3.046e+03  9.868e-01  1.080e+00
   32  2015-09-04T15:36:28  3.040e+03  9.842e-01  1.115e+00
   33  2015-09-04T15:36:42  2.986e+03  9.684e-01  1.248e+00
   34  2015-09-04T15:36:52  2.733e+03  8.876e-01  1.788e+00
   35  2015-09-04T15:37:02  2.765e+03  9.170e-01  1.461e+00
   36  2015-09-04T15:37:14  2.694e+03  8.935e-01  1.614e+00
   37  2015-09-04T15:37:26  6.657e+03  1.195e+00  4.477e+00
