step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
   42 68.68 211757741.47 -3083246.01 -4328473.42 inf 0.07 True(39)
   43 68.71 1827684839.33 -26598252.13 -3081705.16 0.00 0.67 False(38)
   44 68.75 187028396.01 -2720459.38 -3080165.08 inf 0.40 True(40)
   45 68.78 123008607.57 -1788352.42 -2719099.83 inf 0.58 True(41)
   46 68.82 103194111.34 -1499530.92 -1787458.69 inf 0.80 True(42)
   47 68.85 148313979.00 -2154098.23 -1498781.53 0.00 0.65 False(41)
   48 68.89 84393458.01 -1225110.06 -1498032.51 inf 0.08 True(42)
   49 68.92 84130024.59 -1220675.55 -1224497.81 inf 0.86 True(44)
   50 68.96 198825427.39 -2883394.48 -1220065.52 0.00 0.11 False(43)
   51 68.99 136529083.18 -1978974.60 -1219455.79 0.00 0.77 False(42)
   52 69.02 455412820.71 -6597861.66 -1218846.37 0.00 0.18 False(41)
   53 69.06 66884372.55 -968513.14 -1218237.25 inf 0.17 True(42)
   54 69.09 70358861.62 -1018316.01 -968029.12 0.00 0.70 False(41)
   55 69.13 67829787.27 -981221.66 -967545.35 0.00 0.71 False(41)
   56 69.16 77646904.22 -1122674.16 -967061.82 0.00 0.59 False(40)
   57 69.20 74163157.84 -1071767.79 -966578.53 0.00 0.62 False(39)
   58 69.23 205248359.46 -2964661.33 -966095.48 0.00 1.00 False(38)
   59 69.27 63200222.40 -912424.44 -965612.68 inf 0.57 True(40)
   60 69.30 86931220.06 -1254402.71 -911968.45 0.00 0.22 False(39)
   61 69.34 73743149.36 -1063569.31 -911512.70 0.00 0.05 False(38)
   62 69.37 56123019.37 -809036.38 -911057.17 inf 0.80 True(39)
   63 69.40 55774052.02 -803604.07 -808632.06 inf 0.34 True(40)
   64 69.44 55844568.70 -804217.98 -803202.47 0.00 0.24 False(40)
   65 69.47 56105859.15 -807577.04 -802801.07 0.00 0.79 False(39)
   66 69.51 74666516.69 -1074198.50 -802399.87 0.00 0.92 False(38)
   67 69.54 70456927.83 -1013130.20 -801998.87 0.00 0.96 False(38)
   68 69.58 67433641.12 -969172.48 -801598.07 0.00 0.30 False(37)
   69 69.61 56465702.58 -811133.07 -801197.47 0.00 0.02 False(37)
   70 69.65 56521594.21 -811530.19 -800797.07 0.00 0.91 False(36)
   71 69.68 55894445.53 -802124.60 -800396.87 0.00 0.15 False(36)
   72 69.72 55328614.30 -793607.72 -799996.87 inf 0.89 True(36)
   73 69.75 55824419.48 -800319.16 -793211.12 0.00 0.97 False(36)
   74 69.79 55384655.59 -793617.74 -792814.71 0.00 0.51 False(36)
   75 69.82 56666084.26 -811573.80 -792418.50 0.00 0.78 False(35)
   76 69.86 54683332.19 -782785.36 -792022.49 inf 0.31 True(36)
   77 69.89 55639524.43 -796075.10 -782394.16 0.00 0.18 False(35)
   78 69.93 57316812.78 -819663.45 -782003.16 0.00 0.36 False(35)
   79 69.96 54392454.72 -777454.71 -781612.35 inf 0.73 True(36)
   80 70.00 60385998.97 -862691.67 -777066.18 0.00 0.27 False(35)
   81 70.03 58061114.17 -829063.17 -776677.84 0.00 0.37 False(35)
   82 70.07 55118695.98 -786654.62 -776289.70 0.00 0.50 False(34)
   83 70.10 60088339.17 -857152.84 -775901.75 0.00 0.73 False(34)
   84 70.14 62240817.62 -887413.98 -775513.99 0.00 0.62 False(34)
   85 70.17 54899747.56 -782355.67 -775126.43 0.00 0.71 False(33)
   86 70.21 55186484.34 -786048.82 -774739.06 0.00 0.72 False(33)
   87 70.24 56426957.88 -803315.85 -774351.88 0.00 0.75 False(32)
   88 70.28 54460445.66 -774932.36 -773964.90 0.00 0.59 False(32)
   89 70.31 54320917.89 -772560.70 -773578.11 inf 0.13 True(33)
   90 70.35 60151788.58 -855060.74 -772174.61 0.00 0.19 False(32)
   91 70.38 60001410.30 -852496.85 -771788.72 0.00 0.52 False(32)
   92 70.42 54267443.82 -770643.64 -771403.02 inf 0.67 True(33)
   93 70.45 54891514.51 -779116.41 -770258.51 0.00 0.33 False(32)
   94 70.49 58216060.82 -825891.25 -769873.57 0.00 0.11 False(32)
   95 70.52 61612927.72 -873644.61 -769488.83 0.00 0.13 False(32)
   96 70.56 57527139.81 -815302.26 -769104.28 0.00 0.28 False(31)
   97 70.59 65935709.74 -934005.54 -768719.92 0.00 0.69 False(31)
   98 70.63 85905281.46 -1216274.33 -768335.75 0.00 0.43 False(31)
   99 70.67 54627014.00 -773040.14 -767951.77 0.00 0.85 False(31)
  100 70.70 81763522.54 -1156477.22 -767567.99 0.00 0.20 False(30)
  101 70.74 98297080.12 -1389635.86 -767184.40 0.00 0.63 False(30)
  102 70.77 56162463.51 -793577.70 -766801.00 0.00 0.82 False(30)
  103 70.81 58850028.19 -831137.52 -766417.79 0.00 0.26 False(29)
  104 70.84 55078553.67 -777484.33 -766034.77 0.00 0.15 False(29)
  105 70.88 55832832.19 -787737.80 -765651.95 0.00 0.02 False(29)
  106 70.91 60581496.42 -854308.90 -765269.31 0.00 0.40 False(28)
  107 70.95 61732384.94 -870103.46 -764886.87 0.00 0.70 False(28)
  108 70.98 75194457.87 -1059318.55 -764504.61 0.00 0.53 False(28)
  109 71.02 55681504.59 -784033.49 -764122.55 0.00 0.69 False(28)
  110 71.05 58944265.56 -829560.61 -763740.68 0.00 0.80 False(27)
  111 71.09 54961401.27 -773120.63 -763359.00 0.00 0.03 False(27)
  112 71.13 56319448.86 -791827.85 -762977.51 0.00 0.17 False(27)
  113 71.16 55172597.35 -775315.94 -762596.22 0.00 0.84 False(27)
  114 71.20 55104705.11 -773974.89 -762215.11 0.00 0.53 False(26)
