Neural: BP training started. 2015-07-21T17:07:33
Parallel processing over 48 cores.

Training on 1056 images.
Hashing images...
 1056 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (4, 30)
 Cu: (4, 30)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file a0-neighborlists.json loaded with 1056 entries.
 Calculating 0 of 1056 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from a0-fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1056 fingerprints. (1056 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file a0-fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1056 fingerprint derivatives. (1056 exist in file.)
 ...all fingerprint operations complete. 0.0 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file l4n30-initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-21T17:07:42  6.071e+03  2.398e+00  7.153e-19
Force convergence!
    1  2015-07-21T17:07:42  6.054e+09  2.394e+03  0.000e+00
    2  2015-07-21T17:07:43  4.818e+05  2.136e+01  0.000e+00
    3  2015-07-21T17:07:44  3.054e+04  5.378e+00  1.531e-24
    4  2015-07-21T17:07:45  4.654e+03  2.099e+00  6.971e-20
    5  2015-07-21T17:07:47  2.293e+03  1.473e+00  4.847e-20
    6  2015-07-21T17:07:49  2.339e+03  1.488e+00  8.504e-17
    7  2015-07-21T17:07:50  4.107e+03  1.972e+00  7.836e-17
    8  2015-07-21T17:07:52  1.511e+03  1.196e+00  7.963e-20
    9  2015-07-21T17:07:53  1.268e+03  1.096e+00  1.406e-19
   10  2015-07-21T17:07:55  3.167e+03  1.732e+00  2.468e-17
   11  2015-07-21T17:07:56  1.095e+03  1.018e+00  2.554e-19
   12  2015-07-21T17:07:58  5.083e+03  2.194e+00  3.053e-16
   13  2015-07-21T17:07:59  2.921e+02  5.259e-01  7.157e-17
   14  2015-07-21T17:08:01  4.378e+03  2.036e+00  4.124e-16
   15  2015-07-21T17:08:02  2.636e+02  4.996e-01  1.300e-16
   16  2015-07-21T17:08:03  2.714e+02  5.070e-01  8.049e-17
