Neural: BP training started. 2015-07-21T16:52:28
Parallel processing over 48 cores.

Training on 1056 images.
Hashing images...
 1056 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (2, 30)
 Cu: (2, 30)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file a0-neighborlists.json loaded with 1056 entries.
 Calculating 0 of 1056 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from a0-fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1056 fingerprints. (1056 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file a0-fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1056 fingerprint derivatives. (1056 exist in file.)
 ...all fingerprint operations complete. 0.0 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file l2n30-initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-21T16:52:37  5.867e+03  2.357e+00  1.836e-18
Force convergence!
    1  2015-07-21T16:52:37  6.044e+09  2.392e+03  0.000e+00
    2  2015-07-21T16:52:38  5.835e+05  2.351e+01  0.000e+00
    3  2015-07-21T16:52:39  3.649e+04  5.879e+00  3.953e-26
    4  2015-07-21T16:52:40  5.308e+03  2.242e+00  2.036e-19
    5  2015-07-21T16:52:42  4.246e+03  2.005e+00  1.764e-19
    6  2015-07-21T16:52:43  1.542e+03  1.208e+00  1.032e-17
    7  2015-07-21T16:52:44  8.903e+03  2.904e+00  1.280e-17
    8  2015-07-21T16:52:45  2.173e+03  1.434e+00  8.981e-17
    9  2015-07-21T16:52:46  2.249e+03  1.460e+00  5.005e-17
   10  2015-07-21T16:52:47  1.334e+03  1.124e+00  1.770e-17
   11  2015-07-21T16:52:48  8.493e+03  2.836e+00  6.459e-21
   12  2015-07-21T16:52:49  3.531e+03  1.829e+00  9.272e-17
   13  2015-07-21T16:52:50  1.392e+03  1.148e+00  2.552e-17
   14  2015-07-21T16:52:51  1.329e+03  1.122e+00  1.920e-17
   15  2015-07-21T16:52:52  1.320e+03  1.118e+00  1.942e-17
   16  2015-07-21T16:52:53  1.288e+03  1.104e+00  1.945e-17
   17  2015-07-21T16:52:54  1.709e+03  1.272e+00  1.022e-17
   18  2015-07-21T16:52:55  1.286e+03  1.104e+00  1.934e-17
   19  2015-07-21T16:52:56  1.281e+03  1.101e+00  1.757e-17
   20  2015-07-21T16:52:57  1.262e+03  1.093e+00  1.509e-17
   21  2015-07-21T16:52:58  4.202e+02  6.308e-01  3.690e-17
   22  2015-07-21T16:53:00  1.834e+03  1.318e+00  2.448e-17
   23  2015-07-21T16:53:01  3.321e+02  5.608e-01  3.589e-17
   24  2015-07-21T16:53:02  2.890e+02  5.232e-01  2.434e-17
   25  2015-07-21T16:53:03  4.880e+02  6.798e-01  1.790e-16
   26  2015-07-21T16:53:04  1.075e+03  1.009e+00  6.966e-17
   27  2015-07-21T16:53:06  3.616e+02  5.852e-01  1.197e-17
   28  2015-07-21T16:53:07  2.885e+02  5.226e-01  1.932e-17
   29  2015-07-21T16:53:08  2.873e+02  5.216e-01  1.926e-17
