Neural: BP training started. 2015-07-21T16:45:39
Parallel processing over 48 cores.

Training on 1056 images.
Hashing images...
 1056 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (4, 40)
 Cu: (4, 40)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file a0-neighborlists.json loaded with 1056 entries.
 Calculating 0 of 1056 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from a0-fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1056 fingerprints. (1056 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file a0-fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1056 fingerprint derivatives. (1056 exist in file.)
 ...all fingerprint operations complete. 0.0 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file l4n40-initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-21T16:45:49  5.965e+03  2.377e+00  1.911e-18
Force convergence!
    1  2015-07-21T16:45:50  6.046e+09  2.393e+03  0.000e+00
    2  2015-07-21T16:45:51  5.482e+05  2.279e+01  0.000e+00
    3  2015-07-21T16:45:52  3.443e+04  5.710e+00  2.891e-27
    4  2015-07-21T16:45:53  5.097e+03  2.197e+00  5.153e-20
    5  2015-07-21T16:45:55  3.513e+03  1.824e+00  3.716e-20
    6  2015-07-21T16:45:57  1.162e+03  1.049e+00  2.438e-18
    7  2015-07-21T16:45:58  1.249e+04  3.439e+00  2.886e-20
    8  2015-07-21T16:46:00  3.247e+03  1.753e+00  1.317e-16
    9  2015-07-21T16:46:01  1.147e+03  1.042e+00  4.862e-18
   10  2015-07-21T16:46:02  1.110e+03  1.025e+00  1.334e-17
   11  2015-07-21T16:46:04  2.977e+03  1.679e+00  7.832e-17
   12  2015-07-21T16:46:05  1.076e+03  1.010e+00  1.701e-17
   13  2015-07-21T16:46:06  1.025e+03  9.850e-01  1.954e-17
   14  2015-07-21T16:46:08  1.052e+03  9.982e-01  6.209e-17
   15  2015-07-21T16:46:09  7.249e+02  8.285e-01  3.388e-17
   16  2015-07-21T16:46:11  6.863e+02  8.061e-01  4.358e-17
   17  2015-07-21T16:46:12  6.856e+02  8.058e-01  4.465e-17
   18  2015-07-21T16:46:14  4.056e+03  1.960e+00  2.283e-16
   19  2015-07-21T16:46:15  1.537e+03  1.207e+00  9.120e-17
   20  2015-07-21T16:46:16  6.849e+02  8.054e-01  4.553e-17
   21  2015-07-21T16:46:18  6.836e+02  8.046e-01  4.559e-17
   22  2015-07-21T16:46:19  6.792e+02  8.020e-01  4.549e-17
   23  2015-07-21T16:46:21  6.674e+02  7.950e-01  4.759e-17
   24  2015-07-21T16:46:23  6.279e+02  7.711e-01  5.329e-17
   25  2015-07-21T16:46:24  6.341e+02  7.749e-01  7.054e-17
   26  2015-07-21T16:46:25  6.093e+02  7.596e-01  6.437e-17
   27  2015-07-21T16:46:27  5.729e+02  7.366e-01  7.432e-17
   28  2015-07-21T16:46:29  5.526e+02  7.234e-01  1.327e-16
   29  2015-07-21T16:46:30  5.312e+02  7.093e-01  8.974e-17
   30  2015-07-21T16:46:32  4.084e+02  6.219e-01  1.116e-16
   31  2015-07-21T16:46:33  3.035e+02  5.361e-01  3.110e-16
   32  2015-07-21T16:46:35  1.671e+03  1.258e+00  1.613e-16
   33  2015-07-21T16:46:36  2.929e+02  5.266e-01  3.006e-16
   34  2015-07-21T16:46:37  2.792e+02  5.142e-01  2.962e-16
   35  2015-07-21T16:46:39  3.954e+02  6.119e-01  1.374e-16
   36  2015-07-21T16:46:41  2.034e+02  4.389e-01  2.816e-16
   37  2015-07-21T16:46:42  1.857e+02  4.193e-01  2.538e-16
   38  2015-07-21T16:46:43  4.136e+03  1.979e+00  2.009e-16
   39  2015-07-21T16:46:45  1.875e+02  4.214e-01  2.274e-16
   40  2015-07-21T16:46:46  1.848e+02  4.184e-01  2.445e-16
   41  2015-07-21T16:46:48  1.832e+02  4.165e-01  2.469e-16
   42  2015-07-21T16:46:49  1.778e+02  4.103e-01  2.571e-16
   43  2015-07-21T16:46:50  1.658e+02  3.962e-01  2.569e-16
   44  2015-07-21T16:46:52  1.453e+02  3.709e-01  1.943e-16
   45  2015-07-21T16:46:53  1.389e+02  3.627e-01  2.222e-16
   46  2015-07-21T16:46:55  1.308e+02  3.519e-01  1.995e-16
   47  2015-07-21T16:46:56  1.170e+02  3.328e-01  1.345e-16
   48  2015-07-21T16:46:58  1.060e+02  3.168e-01  1.804e-16
   49  2015-07-21T16:46:59  1.050e+02  3.154e-01  1.418e-16
   50  2015-07-21T16:47:00  1.002e+02  3.080e-01  1.574e-16
   51  2015-07-21T16:47:02  1.918e+02  4.262e-01  2.133e-16
   52  2015-07-21T16:47:03  9.804e+01  3.047e-01  1.441e-16
   53  2015-07-21T16:47:05  9.430e+01  2.988e-01  1.554e-16
   54  2015-07-21T16:47:06  8.916e+01  2.906e-01  1.364e-16
   55  2015-07-21T16:47:08  1.025e+02  3.116e-01  9.316e-17
   56  2015-07-21T16:47:10  8.773e+01  2.882e-01  1.200e-16
   57  2015-07-21T16:47:12  8.547e+01  2.845e-01  1.226e-16
   58  2015-07-21T16:47:14  8.798e+01  2.886e-01  9.644e-17
   59  2015-07-21T16:47:15  8.379e+01  2.817e-01  1.360e-16
   60  2015-07-21T16:47:17  8.285e+01  2.801e-01  7.851e-17
   61  2015-07-21T16:47:18  8.988e+01  2.917e-01  8.127e-17
   62  2015-07-21T16:47:20  8.242e+01  2.794e-01  7.615e-17
   63  2015-07-21T16:47:21  8.166e+01  2.781e-01  7.575e-17
   64  2015-07-21T16:47:23  8.081e+01  2.766e-01  7.984e-17
   65  2015-07-21T16:47:25  8.049e+01  2.761e-01  7.797e-17
   66  2015-07-21T16:47:26  7.987e+01  2.750e-01  7.350e-17
   67  2015-07-21T16:47:28  8.283e+01  2.801e-01  5.467e-17
   68  2015-07-21T16:47:29  7.939e+01  2.742e-01  6.769e-17
   69  2015-07-21T16:47:31  7.860e+01  2.728e-01  5.406e-17
   70  2015-07-21T16:47:32  7.910e+01  2.737e-01  5.540e-17
   71  2015-07-21T16:47:34  7.823e+01  2.722e-01  5.339e-17
   72  2015-07-21T16:47:35  7.753e+01  2.710e-01  5.287e-17
   73  2015-07-21T16:47:36  7.616e+01  2.686e-01  4.872e-17
   74  2015-07-21T16:47:38  7.710e+01  2.702e-01  3.894e-17
   75  2015-07-21T16:47:39  7.516e+01  2.668e-01  4.284e-17
   76  2015-07-21T16:47:41  7.337e+01  2.636e-01  4.354e-17
   77  2015-07-21T16:47:42  7.201e+01  2.611e-01  5.536e-17
   78  2015-07-21T16:47:44  7.813e+01  2.720e-01  7.096e-17
   79  2015-07-21T16:47:45  7.164e+01  2.605e-01  5.827e-17
   80  2015-07-21T16:47:47  7.097e+01  2.592e-01  6.224e-17
   81  2015-07-21T16:47:48  6.992e+01  2.573e-01  6.470e-17
   82  2015-07-21T16:47:51  6.827e+01  2.543e-01  6.204e-17
   83  2015-07-21T16:47:52  6.890e+01  2.554e-01  6.710e-17
   84  2015-07-21T16:47:54  6.735e+01  2.525e-01  6.280e-17
   85  2015-07-21T16:47:55  6.671e+01  2.513e-01  6.853e-17
   86  2015-07-21T16:47:57  6.571e+01  2.495e-01  7.717e-17
   87  2015-07-21T16:47:59  6.753e+01  2.529e-01  8.322e-17
   88  2015-07-21T16:48:00  6.518e+01  2.484e-01  7.950e-17
   89  2015-07-21T16:48:01  6.442e+01  2.470e-01  7.562e-17
   90  2015-07-21T16:48:03  6.639e+01  2.507e-01  7.297e-17
   91  2015-07-21T16:48:04  6.420e+01  2.466e-01  7.491e-17
   92  2015-07-21T16:48:06  6.387e+01  2.459e-01  7.526e-17
   93  2015-07-21T16:48:07  6.372e+01  2.456e-01  8.046e-17
   94  2015-07-21T16:48:08  6.363e+01  2.455e-01  7.734e-17
   95  2015-07-21T16:48:10  6.324e+01  2.447e-01  7.918e-17
   96  2015-07-21T16:48:11  6.653e+01  2.510e-01  7.779e-17
   97  2015-07-21T16:48:13  6.318e+01  2.446e-01  7.901e-17
   98  2015-07-21T16:48:14  6.307e+01  2.444e-01  7.760e-17
   99  2015-07-21T16:48:15  6.287e+01  2.440e-01  7.220e-17
Saving checkpoint data.
  100  2015-07-21T16:48:17  6.246e+01  2.432e-01  6.410e-17
  101  2015-07-21T16:48:18  2.965e+02  5.298e-01  8.102e-17
  102  2015-07-21T16:48:20  6.245e+01  2.432e-01  6.407e-17
  103  2015-07-21T16:48:21  6.245e+01  2.432e-01  6.404e-17
  104  2015-07-21T16:48:22  9.585e+01  3.013e-01  6.789e-17
  105  2015-07-21T16:48:23  6.226e+01  2.428e-01  6.251e-17
  106  2015-07-21T16:48:25  2.776e+02  5.127e-01  7.326e-17
  107  2015-07-21T16:48:26  6.226e+01  2.428e-01  6.250e-17
  108  2015-07-21T16:48:28  6.223e+01  2.428e-01  6.233e-17
  109  2015-07-21T16:48:29  6.217e+01  2.426e-01  6.257e-17
  110  2015-07-21T16:48:31  6.199e+01  2.423e-01  6.386e-17
  111  2015-07-21T16:48:32  6.213e+01  2.426e-01  6.703e-17
  112  2015-07-21T16:48:33  6.185e+01  2.420e-01  6.474e-17
  113  2015-07-21T16:48:35  6.178e+01  2.419e-01  6.615e-17
  114  2015-07-21T16:48:36  6.164e+01  2.416e-01  6.620e-17
  115  2015-07-21T16:48:38  6.127e+01  2.409e-01  6.784e-17
  116  2015-07-21T16:48:39  6.036e+01  2.391e-01  8.636e-17
  117  2015-07-21T16:48:41  6.759e+01  2.530e-01  1.357e-16
  118  2015-07-21T16:48:42  6.018e+01  2.387e-01  9.269e-17
  119  2015-07-21T16:48:44  6.017e+01  2.387e-01  9.796e-17
  120  2015-07-21T16:48:45  6.009e+01  2.385e-01  9.529e-17
  121  2015-07-21T16:48:47  5.992e+01  2.382e-01  9.468e-17
  122  2015-07-21T16:48:48  5.967e+01  2.377e-01  9.504e-17
  123  2015-07-21T16:48:50  5.952e+01  2.374e-01  9.859e-17
  124  2015-07-21T16:48:51  5.921e+01  2.368e-01  9.540e-17
  125  2015-07-21T16:48:52  5.944e+01  2.373e-01  8.528e-17
  126  2015-07-21T16:48:53  5.886e+01  2.361e-01  9.032e-17
  127  2015-07-21T16:48:55  5.991e+01  2.382e-01  8.681e-17
  128  2015-07-21T16:48:57  5.860e+01  2.356e-01  8.736e-17
  129  2015-07-21T16:48:58  5.870e+01  2.358e-01  8.461e-17
  130  2015-07-21T16:48:59  5.846e+01  2.353e-01  8.530e-17
  131  2015-07-21T16:49:01  5.830e+01  2.350e-01  8.523e-17
  132  2015-07-21T16:49:02  5.818e+01  2.347e-01  8.589e-17
  133  2015-07-21T16:49:04  5.801e+01  2.344e-01  8.638e-17
  134  2015-07-21T16:49:05  5.789e+01  2.341e-01  8.444e-17
  135  2015-07-21T16:49:07  5.778e+01  2.339e-01  8.751e-17
  136  2015-07-21T16:49:09  5.764e+01  2.336e-01  9.244e-17
  137  2015-07-21T16:49:10  5.756e+01  2.335e-01  9.949e-17
  138  2015-07-21T16:49:12  5.746e+01  2.333e-01  1.010e-16
  139  2015-07-21T16:49:13  5.733e+01  2.330e-01  9.958e-17
  140  2015-07-21T16:49:15  5.746e+01  2.333e-01  1.003e-16
  141  2015-07-21T16:49:16  5.728e+01  2.329e-01  9.972e-17
  142  2015-07-21T16:49:17  5.724e+01  2.328e-01  1.017e-16
  143  2015-07-21T16:49:19  5.719e+01  2.327e-01  1.044e-16
  144  2015-07-21T16:49:21  5.719e+01  2.327e-01  1.045e-16
  145  2015-07-21T16:49:22  5.716e+01  2.327e-01  1.045e-16
  146  2015-07-21T16:49:24  5.712e+01  2.326e-01  1.042e-16
  147  2015-07-21T16:49:26  5.708e+01  2.325e-01  1.036e-16
  148  2015-07-21T16:49:27  5.702e+01  2.324e-01  1.015e-16
  149  2015-07-21T16:49:29  5.693e+01  2.322e-01  9.889e-17
  150  2015-07-21T16:49:30  5.674e+01  2.318e-01  9.436e-17
  151  2015-07-21T16:49:31  1.001e+02  3.078e-01  8.846e-17
  152  2015-07-21T16:49:33  5.671e+01  2.317e-01  9.363e-17
  153  2015-07-21T16:49:34  6.737e+01  2.526e-01  8.925e-17
  154  2015-07-21T16:49:36  5.665e+01  2.316e-01  9.198e-17
  155  2015-07-21T16:49:37  5.665e+01  2.316e-01  9.014e-17
  156  2015-07-21T16:49:39  5.662e+01  2.315e-01  9.098e-17
  157  2015-07-21T16:49:40  5.654e+01  2.314e-01  9.017e-17
  158  2015-07-21T16:49:42  5.772e+01  2.338e-01  8.873e-17
  159  2015-07-21T16:49:43  5.648e+01  2.313e-01  8.957e-17
  160  2015-07-21T16:49:46  5.787e+01  2.341e-01  8.853e-17
  161  2015-07-21T16:49:47  5.645e+01  2.312e-01  8.923e-17
  162  2015-07-21T16:49:49  5.645e+01  2.312e-01  8.913e-17
  163  2015-07-21T16:49:50  5.643e+01  2.312e-01  8.914e-17
  164  2015-07-21T16:49:51  5.640e+01  2.311e-01  8.898e-17
  165  2015-07-21T16:49:53  5.633e+01  2.310e-01  8.881e-17
  166  2015-07-21T16:49:54  5.597e+01  2.302e-01  8.923e-17
