Neural: BP training started. 2015-07-21T16:45:39
Parallel processing over 48 cores.

Training on 1056 images.
Hashing images...
 1056 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (3, 50)
 Cu: (3, 50)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file a0-neighborlists.json loaded with 1056 entries.
 Calculating 0 of 1056 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from a0-fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1056 fingerprints. (1056 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file a0-fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1056 fingerprint derivatives. (1056 exist in file.)
 ...all fingerprint operations complete. 0.0 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file l3n50-initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-21T16:45:48  6.060e+03  2.396e+00  9.001e-19
Force convergence!
    1  2015-07-21T16:45:50  6.053e+09  2.394e+03  0.000e+00
    2  2015-07-21T16:45:51  4.307e+05  2.020e+01  7.515e-17
    3  2015-07-21T16:45:52  1.975e+04  4.325e+00  4.737e-17
    4  2015-07-21T16:45:53  5.819e+03  2.347e+00  1.895e-18
    5  2015-07-21T16:45:56  5.098e+03  2.197e+00  4.711e-18
    6  2015-07-21T16:45:57  2.994e+03  1.684e+00  1.808e-17
    7  2015-07-21T16:45:58  1.752e+03  1.288e+00  5.794e-17
    8  2015-07-21T16:46:00  5.830e+02  7.430e-01  4.888e-18
    9  2015-07-21T16:46:01  4.462e+05  2.056e+01  3.318e-25
   10  2015-07-21T16:46:03  5.818e+02  7.422e-01  8.425e-18
   11  2015-07-21T16:46:04  5.789e+02  7.404e-01  6.911e-18
   12  2015-07-21T16:46:06  5.676e+02  7.332e-01  3.196e-18
   13  2015-07-21T16:46:07  5.785e+02  7.402e-01  4.877e-18
   14  2015-07-21T16:46:08  5.523e+02  7.232e-01  4.906e-18
   15  2015-07-21T16:46:10  8.478e+02  8.960e-01  2.812e-18
   16  2015-07-21T16:46:11  5.503e+02  7.219e-01  4.166e-18
