Neural: BP training started. 2015-07-24T14:20:27
Parallel processing over 32 cores.

Training on 2634 images.
Hashing images...
 2634 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (3, 20)
 Cu: (3, 20)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file a0-neighborlists.json loaded with 2634 entries.
 Calculating 0 of 2634 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from a0-fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 2634 fingerprints. (2634 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file a0-fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.1 min.
 Calculating 0 of 2634 fingerprint derivatives. (2634 exist in file.)
 ...all fingerprint operations complete. 0.2 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.1 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file l3n20-initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-24T14:21:01  1.181e+04  2.114e+00  5.641e-01
    1  2015-07-24T14:21:04  5.781e+10  4.685e+03  5.640e-01
    2  2015-07-24T14:21:07  9.923e+05  1.941e+01  5.640e-01
    3  2015-07-24T14:21:10  7.332e+04  5.275e+00  5.640e-01
    4  2015-07-24T14:21:13  1.665e+04  2.512e+00  5.637e-01
    5  2015-07-24T14:21:16  5.737e+03  1.472e+00  5.578e-01
    6  2015-07-24T14:21:20  1.074e+04  2.016e+00  5.567e-01
    7  2015-07-24T14:21:22  3.574e+03  1.160e+00  5.423e-01
    8  2015-07-24T14:21:25  1.424e+04  2.322e+00  5.520e-01
    9  2015-07-24T14:21:27  3.506e+03  1.149e+00  5.380e-01
   10  2015-07-24T14:21:30  3.385e+03  1.128e+00  5.452e-01
   11  2015-07-24T14:21:34  3.164e+03  1.090e+00  5.607e-01
   12  2015-07-24T14:21:38  2.766e+03  1.018e+00  5.869e-01
   13  2015-07-24T14:21:40  2.956e+03  1.054e+00  5.351e-01
   14  2015-07-24T14:21:43  2.530e+03  9.731e-01  5.882e-01
   15  2015-07-24T14:21:46  3.928e+03  1.217e+00  4.780e-01
   16  2015-07-24T14:21:49  2.430e+03  9.537e-01  5.690e-01
   17  2015-07-24T14:21:53  2.368e+03  9.428e-01  5.003e-01
   18  2015-07-24T14:21:55  2.349e+03  9.383e-01  5.370e-01
   19  2015-07-24T14:21:58  2.198e+03  9.081e-01  4.916e-01
   20  2015-07-24T14:22:01  1.924e+03  8.434e-01  6.934e-01
   21  2015-07-24T14:22:04  2.619e+03  9.454e-01  1.585e+00
   22  2015-07-24T14:22:06  1.828e+03  8.139e-01  8.908e-01
   23  2015-07-24T14:22:10  1.681e+03  7.575e-01  1.269e+00
   24  2015-07-24T14:22:12  1.513e+03  6.587e-01  1.875e+00
   25  2015-07-24T14:22:15  1.310e+03  6.432e-01  1.446e+00
   26  2015-07-24T14:22:18  1.300e+03  6.837e-01  8.102e-01
   27  2015-07-24T14:22:22  1.281e+03  6.782e-01  8.126e-01
   28  2015-07-24T14:22:25  1.225e+03  6.606e-01  8.468e-01
   29  2015-07-24T14:22:28  1.134e+03  6.378e-01  7.684e-01
   30  2015-07-24T14:22:30  1.393e+03  7.078e-01  8.353e-01
   31  2015-07-24T14:22:33  1.098e+03  6.272e-01  7.643e-01
