step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
   54 69.96 608.04 -8.69 -5.51 0.04 0.66 False(27)
   55 70.00 670.70 -9.58 -5.51 0.02 0.24 False(26)
   56 70.03 461.77 -6.59 -5.51 0.34 0.66 False(26)
   57 70.07 4067.20 -58.05 -5.50 0.00 0.37 False(25)
   58 70.10 2260.54 -32.25 -5.50 0.00 0.05 False(25)
   59 70.14 1341.45 -19.13 -5.50 0.00 0.39 False(25)
   60 70.17 294.21 -4.19 -5.50 3.68 0.95 True(26)
   61 70.21 452.41 -6.44 -4.19 0.11 0.87 False(25)
   62 70.24 290.93 -4.14 -4.19 1.05 0.46 True(26)
   63 70.28 609.41 -8.67 -4.14 0.01 0.23 False(26)
   64 70.31 542.53 -7.72 -4.14 0.03 0.29 False(26)
   65 70.35 699.63 -9.95 -4.14 0.00 0.19 False(25)
   66 70.38 327.25 -4.65 -4.13 0.60 0.54 True(26)
   67 70.42 569.47 -8.09 -4.65 0.03 0.93 False(26)
   68 70.45 718.89 -10.20 -4.64 0.00 0.82 False(26)
   69 70.49 275.13 -3.90 -4.64 2.09 0.43 True(27)
   70 70.52 307.30 -4.36 -3.90 0.63 0.59 True(28)
   71 70.56 552.71 -7.83 -4.36 0.03 0.65 False(27)
   72 70.60 334.31 -4.74 -4.35 0.68 0.28 True(28)
   73 70.63 315.63 -4.47 -4.73 1.30 0.91 True(29)
   74 70.67 802.37 -11.35 -4.47 0.00 0.51 False(29)
   75 70.70 415.48 -5.88 -4.46 0.24 0.42 False(28)
   76 70.74 1233.87 -17.44 -4.46 0.00 0.08 False(28)
   77 70.77 931.05 -13.16 -4.46 0.00 0.96 False(28)
   78 70.81 335.09 -4.73 -4.46 0.76 0.19 True(29)
   79 70.84 1300.78 -18.36 -4.73 0.00 0.64 False(28)
   80 70.88 330.22 -4.66 -4.73 1.07 0.74 True(29)
   81 70.91 383.50 -5.41 -4.66 0.47 0.33 True(30)
   82 70.95 1281.81 -18.07 -5.41 0.00 0.03 False(30)
   83 70.98 719.96 -10.14 -5.40 0.01 0.99 False(29)
   84 71.02 695.23 -9.79 -5.40 0.01 0.88 False(29)
   85 71.06 608.32 -8.56 -5.40 0.04 0.25 False(29)
   86 71.09 769.62 -10.83 -5.39 0.00 0.50 False(28)
   87 71.13 1247.82 -17.54 -5.39 0.00 0.55 False(28)
   88 71.16 895.98 -12.59 -5.39 0.00 0.40 False(28)
   89 71.20 722.56 -10.15 -5.39 0.01 0.89 False(27)
   90 71.23 451.59 -6.34 -5.38 0.38 0.83 False(27)
   91 71.27 806.46 -11.32 -5.38 0.00 0.07 False(27)
   92 71.30 3515.54 -49.30 -5.38 0.00 0.35 False(26)
   93 71.34 3102.93 -43.49 -5.38 0.00 0.15 False(26)
   94 71.38 400.94 -5.62 -5.37 0.78 0.79 False(26)
   95 71.41 1504.25 -21.06 -5.37 0.00 0.45 False(26)
   96 71.45 697.12 -9.76 -5.37 0.01 0.32 False(25)
   97 71.48 717.52 -10.04 -5.36 0.01 0.97 False(25)
   98 71.52 1764.02 -24.67 -5.36 0.00 0.29 False(25)
   99 71.55 1911.28 -26.71 -5.36 0.00 0.32 False(25)
  100 71.59 2222.53 -31.05 -5.36 0.00 0.85 False(24)
  101 71.63 974.46 -13.60 -5.35 0.00 0.84 False(24)
  102 71.66 407.38 -5.68 -5.35 0.72 1.00 False(24)
  103 71.70 1511.54 -21.08 -5.35 0.00 0.63 False(24)
  104 71.73 1835.75 -25.59 -5.35 0.00 0.88 False(23)
