Neural: BP training started. 2015-09-04T15:30:15
Parallel processing over 48 cores.

Training on 2985 images.
Hashing images...
 2985 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (2, 35)
 Cu: (2, 35)
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 2985 entries.
 Calculating 0 of 2985 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 2985 fingerprints. (2985 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.1 min.
 Calculating 0 of 2985 fingerprint derivatives. (2985 exist in file.)
 ...all fingerprint operations complete. 0.2 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.1 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-09-04T15:31:13  1.415e+04  2.174e+00  6.295e-01
    1  2015-09-04T15:31:22  8.959e+10  5.478e+03  6.290e-01
    2  2015-09-04T15:31:33  1.069e+06  1.892e+01  6.290e-01
    3  2015-09-04T15:31:43  7.709e+04  5.080e+00  6.290e-01
    4  2015-09-04T15:31:54  1.714e+04  2.393e+00  6.303e-01
    5  2015-09-04T15:32:05  6.723e+03  1.495e+00  6.571e-01
    6  2015-09-04T15:32:15  1.586e+04  2.301e+00  6.635e-01
    7  2015-09-04T15:32:25  4.279e+03  1.190e+00  6.714e-01
    8  2015-09-04T15:32:36  3.413e+04  3.379e+00  6.350e-01
    9  2015-09-04T15:32:47  4.179e+03  1.176e+00  6.692e-01
   10  2015-09-04T15:32:58  3.984e+03  1.148e+00  6.627e-01
   11  2015-09-04T15:33:10  3.405e+03  1.060e+00  6.411e-01
   12  2015-09-04T15:33:20  2.363e+03  8.807e-01  6.339e-01
   13  2015-09-04T15:33:31  4.737e+03  1.254e+00  5.787e-01
   14  2015-09-04T15:33:42  2.158e+03  8.411e-01  6.214e-01
   15  2015-09-04T15:33:53  2.382e+03  8.852e-01  6.002e-01
   16  2015-09-04T15:34:03  2.090e+03  8.277e-01  6.166e-01
   17  2015-09-04T15:34:13  1.956e+03  8.001e-01  6.170e-01
   18  2015-09-04T15:34:23  1.500e+03  6.974e-01  6.384e-01
   19  2015-09-04T15:34:34  4.197e+03  1.179e+00  6.509e-01
   20  2015-09-04T15:34:44  1.416e+03  6.771e-01  6.303e-01
   21  2015-09-04T15:34:54  1.260e+03  6.376e-01  6.211e-01
   22  2015-09-04T15:35:04  1.029e+03  5.759e-01  5.705e-01
   23  2015-09-04T15:35:14  8.387e+02  5.180e-01  5.629e-01
   24  2015-09-04T15:35:24  6.865e+02  4.698e-01  4.815e-01
   25  2015-09-04T15:35:34  5.360e+02  4.114e-01  5.086e-01
   26  2015-09-04T15:35:45  6.997e+02  4.659e-01  6.587e-01
   27  2015-09-04T15:35:55  4.504e+02  3.742e-01  5.213e-01
   28  2015-09-04T15:36:08  6.158e+02  4.424e-01  5.152e-01
   29  2015-09-04T15:36:18  4.213e+02  3.606e-01  5.261e-01
   30  2015-09-04T15:36:32  3.797e+02  3.363e-01  5.937e-01
   31  2015-09-04T15:36:44  3.055e+02  3.034e-01  5.075e-01
   32  2015-09-04T15:36:55  5.753e+02  3.998e-01  9.069e-01
   33  2015-09-04T15:37:09  2.734e+02  2.857e-01  4.988e-01
   34  2015-09-04T15:37:22  2.461e+02  2.681e-01  5.141e-01
   35  2015-09-04T15:37:35  2.571e+02  2.723e-01  5.475e-01
   36  2015-09-04T15:37:48  2.288e+02  2.561e-01  5.262e-01
   37  2015-09-04T15:38:00  2.317e+02  2.583e-01  5.224e-01
   38  2015-09-04T15:38:13  2.182e+02  2.494e-01  5.214e-01
   39  2015-09-04T15:38:26  2.005e+02  2.363e-01  5.323e-01
   40  2015-09-04T15:38:43  1.767e+02  2.206e-01  5.130e-01
   41  2015-09-04T15:38:58  2.406e+02  2.670e-01  4.834e-01
   42  2015-09-04T15:39:13  1.678e+02  2.144e-01  5.062e-01
   43  2015-09-04T15:39:28  1.601e+02  2.076e-01  5.133e-01
   44  2015-09-04T15:39:41  1.504e+02  1.948e-01  5.576e-01
   45  2015-09-04T15:39:54  1.427e+02  1.925e-01  5.179e-01
   46  2015-09-04T15:40:10  1.320e+02  1.845e-01  5.039e-01
   47  2015-09-04T15:40:24  1.285e+02  1.873e-01  4.461e-01
   48  2015-09-04T15:40:40  1.252e+02  1.807e-01  4.821e-01
   49  2015-09-04T15:40:56  1.185e+02  1.776e-01  4.517e-01
   50  2015-09-04T15:41:11  1.494e+02  2.055e-01  4.419e-01
   51  2015-09-04T15:41:23  1.175e+02  1.769e-01  4.492e-01
   52  2015-09-04T15:41:37  1.156e+02  1.752e-01  4.488e-01
   53  2015-09-04T15:41:51  1.105e+02  1.705e-01  4.461e-01
