Neural: BP training started. 2015-09-07T15:50:05
Parallel processing over 48 cores.

Training on 2985 images.
Hashing images...
 2985 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (3, 40)
 Cu: (3, 40)
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 2985 entries.
 Calculating 0 of 2985 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 2985 fingerprints. (2985 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.1 min.
 Calculating 0 of 2985 fingerprint derivatives. (2985 exist in file.)
 ...all fingerprint operations complete. 0.2 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.1 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-09-07T15:51:09  1.406e+04  2.166e+00  6.332e-01
    1  2015-09-07T15:51:19  8.936e+10  5.471e+03  6.290e-01
    2  2015-09-07T15:51:29  1.160e+06  1.971e+01  6.290e-01
    3  2015-09-07T15:51:40  8.263e+04  5.260e+00  6.290e-01
    4  2015-09-07T15:51:52  1.783e+04  2.441e+00  6.275e-01
    5  2015-09-07T15:52:03  7.420e+03  1.572e+00  6.291e-01
    6  2015-09-07T15:52:14  1.654e+04  2.348e+00  7.936e-01
    7  2015-09-07T15:52:25  4.550e+03  1.228e+00  6.596e-01
    8  2015-09-07T15:52:37  1.726e+04  2.400e+00  7.264e-01
    9  2015-09-07T15:52:48  3.997e+03  1.149e+00  6.629e-01
   10  2015-09-07T15:52:59  3.729e+03  1.111e+00  6.289e-01
   11  2015-09-07T15:53:10  3.564e+03  1.085e+00  6.484e-01
   12  2015-09-07T15:53:22  3.122e+03  1.015e+00  6.444e-01
   13  2015-09-07T15:53:33  3.031e+03  1.004e+00  4.174e-01
   14  2015-09-07T15:53:44  2.854e+03  9.746e-01  3.992e-01
   15  2015-09-07T15:53:55  2.626e+03  9.344e-01  4.033e-01
   16  2015-09-07T15:54:07  2.531e+03  9.164e-01  4.521e-01
   17  2015-09-07T15:54:18  2.399e+03  8.907e-01  5.093e-01
   18  2015-09-07T15:54:29  2.177e+03  8.443e-01  6.413e-01
   19  2015-09-07T15:54:41  2.038e+03  8.081e-01  8.593e-01
   20  2015-09-07T15:54:51  2.002e+03  8.057e-01  7.342e-01
   21  2015-09-07T15:55:01  1.910e+03  7.799e-01  8.881e-01
   22  2015-09-07T15:55:12  1.865e+03  7.743e-01  7.967e-01
   23  2015-09-07T15:55:23  2.287e+03  8.607e-01  7.946e-01
   24  2015-09-07T15:55:34  1.829e+03  7.663e-01  8.011e-01
   25  2015-09-07T15:55:44  1.761e+03  7.510e-01  8.069e-01
   26  2015-09-07T15:55:54  1.640e+03  7.199e-01  8.807e-01
   27  2015-09-07T15:56:04  1.311e+03  6.450e-01  7.606e-01
   28  2015-09-07T15:56:14  1.731e+03  7.356e-01  9.853e-01
   29  2015-09-07T15:56:23  9.474e+02  5.547e-01  4.913e-01
   30  2015-09-07T15:56:33  5.902e+02  3.962e-01  1.010e+00
   31  2015-09-07T15:56:43  4.882e+03  1.268e+00  8.119e-01
   32  2015-09-07T15:56:54  5.645e+02  3.856e-01  1.005e+00
   33  2015-09-07T15:57:03  5.403e+02  3.754e-01  1.001e+00
   34  2015-09-07T15:57:13  1.730e+03  7.350e-01  9.936e-01
   35  2015-09-07T15:57:24  5.000e+02  3.578e-01  9.933e-01
   36  2015-09-07T15:57:35  9.679e+02  5.438e-01  8.452e-01
   37  2015-09-07T15:57:45  4.717e+02  3.477e-01  9.629e-01
   38  2015-09-07T15:57:57  4.755e+02  3.594e-01  8.682e-01
   39  2015-09-07T15:58:08  4.566e+02  3.469e-01  9.030e-01
   40  2015-09-07T15:58:19  4.346e+02  3.431e-01  8.349e-01
   41  2015-09-07T15:58:28  4.265e+02  3.440e-01  7.833e-01
   42  2015-09-07T15:58:39  4.161e+02  3.400e-01  7.718e-01
   43  2015-09-07T15:58:50  3.964e+02  3.345e-01  7.229e-01
   44  2015-09-07T15:59:00  3.653e+02  3.252e-01  6.447e-01
   45  2015-09-07T15:59:11  3.852e+02  3.463e-01  4.776e-01
   46  2015-09-07T15:59:21  3.362e+02  3.148e-01  5.809e-01
   47  2015-09-07T15:59:32  9.714e+02  5.649e-01  3.963e-01
   48  2015-09-07T15:59:42  3.333e+02  3.141e-01  5.699e-01
   49  2015-09-07T15:59:54  3.280e+02  3.124e-01  5.548e-01
   50  2015-09-07T16:00:05  3.182e+02  3.084e-01  5.354e-01
   51  2015-09-07T16:00:17  3.001e+02  3.015e-01  4.901e-01
   52  2015-09-07T16:00:29  2.923e+02  2.963e-01  5.036e-01
   53  2015-09-07T16:00:39  2.873e+02  2.955e-01  4.730e-01
   54  2015-09-07T16:00:51  2.669e+02  2.865e-01  4.286e-01
   55  2015-09-07T16:01:01  2.493e+02  2.714e-01  4.959e-01
   56  2015-09-07T16:01:13  3.374e+02  3.214e-01  4.937e-01
   57  2015-09-07T16:01:24  2.460e+02  2.697e-01  4.922e-01
   58  2015-09-07T16:01:35  2.399e+02  2.667e-01  4.799e-01
   59  2015-09-07T16:01:47  2.293e+02  2.605e-01  4.738e-01
   60  2015-09-07T16:01:58  2.210e+02  2.572e-01  4.440e-01
   61  2015-09-07T16:02:09  2.118e+02  2.505e-01  4.519e-01
   62  2015-09-07T16:02:21  2.304e+02  2.620e-01  4.620e-01
   63  2015-09-07T16:02:32  2.083e+02  2.481e-01  4.541e-01
   64  2015-09-07T16:02:43  2.025e+02  2.434e-01  4.625e-01
   65  2015-09-07T16:02:55  1.918e+02  2.354e-01  4.698e-01
   66  2015-09-07T16:03:07  1.782e+02  2.228e-01  5.014e-01
   67  2015-09-07T16:03:18  1.835e+02  2.194e-01  5.774e-01
   68  2015-09-07T16:03:29  1.709e+02  2.146e-01  5.294e-01
   69  2015-09-07T16:03:41  1.628e+02  2.064e-01  5.465e-01
   70  2015-09-07T16:03:52  1.546e+02  2.029e-01  5.159e-01
   71  2015-09-07T16:04:03  1.601e+02  2.113e-01  4.739e-01
   72  2015-09-07T16:04:14  1.508e+02  2.015e-01  4.983e-01
   73  2015-09-07T16:04:25  1.467e+02  1.996e-01  4.830e-01
   74  2015-09-07T16:04:36  1.398e+02  1.944e-01  4.756e-01
   75  2015-09-07T16:04:46  1.343e+02  1.944e-01  4.241e-01
   76  2015-09-07T16:04:57  1.503e+02  2.035e-01  4.728e-01
   77  2015-09-07T16:05:08  1.327e+02  1.925e-01  4.304e-01
   78  2015-09-07T16:05:19  1.296e+02  1.896e-01  4.327e-01
   79  2015-09-07T16:05:29  1.292e+02  1.865e-01  4.610e-01
   80  2015-09-07T16:05:40  1.262e+02  1.859e-01  4.389e-01
   81  2015-09-07T16:05:50  1.876e+02  2.309e-01  4.885e-01
   82  2015-09-07T16:06:01  1.243e+02  1.839e-01  4.430e-01
   83  2015-09-07T16:06:13  1.220e+02  1.823e-01  4.367e-01
   84  2015-09-07T16:06:24  1.182e+02  1.799e-01  4.253e-01
   85  2015-09-07T16:06:35  1.153e+02  1.793e-01  4.023e-01
   86  2015-09-07T16:06:45  1.161e+02  1.819e-01  3.801e-01
   87  2015-09-07T16:06:56  1.137e+02  1.787e-01  3.919e-01
   88  2015-09-07T16:07:07  1.109e+02  1.765e-01  3.871e-01
   89  2015-09-07T16:07:18  1.069e+02  1.744e-01  3.676e-01
   90  2015-09-07T16:07:29  1.023e+02  1.702e-01  3.642e-01
   91  2015-09-07T16:07:41  1.493e+02  2.122e-01  3.534e-01
   92  2015-09-07T16:07:53  1.015e+02  1.696e-01  3.618e-01
   93  2015-09-07T16:08:04  1.001e+02  1.683e-01  3.608e-01
   94  2015-09-07T16:08:16  9.809e+01  1.657e-01  3.674e-01
   95  2015-09-07T16:08:27  9.478e+01  1.610e-01  3.814e-01
   96  2015-09-07T16:08:38  9.340e+01  1.600e-01  3.768e-01
   97  2015-09-07T16:08:50  9.244e+01  1.589e-01  3.781e-01
   98  2015-09-07T16:09:01  8.868e+01  1.555e-01  3.715e-01
   99  2015-09-07T16:09:13  8.580e+01  1.527e-01  3.687e-01
Saving checkpoint data.
  100  2015-09-07T16:09:24  8.964e+01  1.508e-01  4.266e-01
  101  2015-09-07T16:09:35  8.461e+01  1.501e-01  3.816e-01
  102  2015-09-07T16:09:46  8.265e+01  1.483e-01  3.769e-01
  103  2015-09-07T16:09:58  8.088e+01  1.466e-01  3.738e-01
  104  2015-09-07T16:10:10  7.892e+01  1.445e-01  3.729e-01
  105  2015-09-07T16:10:20  7.735e+01  1.441e-01  3.590e-01
