Neural: BP training started. 2015-07-28T17:37:35
Parallel processing over 32 cores.

Training on 1352 images.
Hashing images...
 1352 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (2, 20)
 Cu: (2, 20)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 1352 entries.
 Calculating 0 of 1352 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1352 fingerprints. (1352 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1352 fingerprint derivatives. (1352 exist in file.)
 ...all fingerprint operations complete. 0.1 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-28T17:37:47  7.303e+03  2.323e+00  4.344e-01
    1  2015-07-28T17:37:49  1.127e+10  2.887e+03  4.337e-01
    2  2015-07-28T17:37:50  5.319e+05  1.983e+01  4.337e-01
    3  2015-07-28T17:37:51  3.519e+04  5.101e+00  4.337e-01
    4  2015-07-28T17:37:52  6.252e+03  2.149e+00  4.338e-01
    5  2015-07-28T17:37:53  4.349e+03  1.792e+00  4.338e-01
    6  2015-07-28T17:37:54  1.346e+03  9.940e-01  4.356e-01
    7  2015-07-28T17:37:55  1.628e+04  3.465e+00  8.679e-01
    8  2015-07-28T17:37:56  9.526e+03  2.244e+00  7.091e+00
    9  2015-07-28T17:37:58  1.345e+03  9.935e-01  4.358e-01
   10  2015-07-28T17:37:59  1.343e+03  9.930e-01  4.360e-01
   11  2015-07-28T17:38:00  8.016e+03  2.200e+00  5.217e+00
   12  2015-07-28T17:38:01  1.342e+03  9.927e-01  4.361e-01
   13  2015-07-28T17:38:02  1.342e+03  9.923e-01  4.362e-01
   14  2015-07-28T17:38:03  7.128e+03  2.071e+00  4.958e+00
   15  2015-07-28T17:38:04  1.340e+03  9.918e-01  4.364e-01
   16  2015-07-28T17:38:05  1.339e+03  9.912e-01  4.366e-01
   17  2015-07-28T17:38:06  1.366e+03  9.973e-01  6.214e-01
   18  2015-07-28T17:38:08  1.260e+03  9.612e-01  4.538e-01
   19  2015-07-28T17:38:09  1.209e+03  9.404e-01  4.955e-01
   20  2015-07-28T17:38:10  1.424e+04  2.221e+00  1.183e+01
   21  2015-07-28T17:38:11  1.209e+03  9.402e-01  4.991e-01
   22  2015-07-28T17:38:13  1.208e+03  9.404e-01  4.833e-01
   23  2015-07-28T17:38:14  1.207e+03  9.400e-01  4.831e-01
   24  2015-07-28T17:38:15  1.203e+03  9.385e-01  4.825e-01
   25  2015-07-28T17:38:16  1.188e+03  9.326e-01  4.791e-01
   26  2015-07-28T17:38:17  1.192e+03  9.321e-01  5.615e-01
   27  2015-07-28T17:38:18  1.180e+03  9.291e-01  4.816e-01
   28  2015-07-28T17:38:20  1.171e+03  9.249e-01  5.204e-01
   29  2015-07-28T17:38:21  1.164e+03  9.208e-01  5.717e-01
   30  2015-07-28T17:38:21  2.042e+03  9.930e-01  3.620e+00
   31  2015-07-28T17:38:22  1.159e+03  9.194e-01  5.411e-01
   32  2015-07-28T17:38:24  1.149e+03  9.148e-01  5.765e-01
   33  2015-07-28T17:38:25  1.022e+03  7.906e-01  1.807e+00
   34  2015-07-28T17:38:26  9.435e+02  8.012e-01  1.181e+00
   35  2015-07-28T17:38:27  9.401e+02  8.025e-01  1.133e+00
   36  2015-07-28T17:38:28  1.004e+03  8.532e-01  6.016e-01
   37  2015-07-28T17:38:29  9.268e+02  8.168e-01  6.781e-01
   38  2015-07-28T17:38:30  9.231e+02  8.125e-01  7.507e-01
   39  2015-07-28T17:38:31  9.229e+02  8.115e-01  7.762e-01
   40  2015-07-28T17:38:33  1.814e+03  1.155e+00  4.337e-01
   41  2015-07-28T17:38:34  2.003e+03  9.244e-01  3.958e+00
   42  2015-07-28T17:38:35  9.228e+02  8.118e-01  7.681e-01
   43  2015-07-28T17:38:36  9.227e+02  8.118e-01  7.668e-01
   44  2015-07-28T17:38:37  9.221e+02  8.117e-01  7.619e-01
   45  2015-07-28T17:38:38  9.196e+02  8.112e-01  7.432e-01
   46  2015-07-28T17:38:40  9.042e+02  8.063e-01  6.842e-01
   47  2015-07-28T17:38:41  9.324e+02  8.195e-01  6.700e-01
   48  2015-07-28T17:38:42  9.016e+02  8.060e-01  6.568e-01
   49  2015-07-28T17:38:43  8.800e+02  7.986e-01  5.743e-01
   50  2015-07-28T17:38:44  8.425e+02  7.836e-01  4.760e-01
   51  2015-07-28T17:38:45  8.198e+02  7.677e-01  6.515e-01
   52  2015-07-28T17:38:47  8.191e+02  7.732e-01  4.492e-01
   53  2015-07-28T17:38:48  8.176e+02  7.724e-01  4.493e-01
   54  2015-07-28T17:38:49  8.092e+02  7.684e-01  4.497e-01
   55  2015-07-28T17:38:50  7.949e+02  7.614e-01  4.531e-01
   56  2015-07-28T17:38:51  1.050e+03  7.493e-01  2.320e+00
   57  2015-07-28T17:38:52  7.852e+02  7.563e-01  4.703e-01
   58  2015-07-28T17:38:54  7.696e+02  7.485e-01  4.756e-01
   59  2015-07-28T17:38:55  7.591e+02  7.415e-01  5.386e-01
   60  2015-07-28T17:38:56  1.084e+03  8.108e-01  1.900e+00
   61  2015-07-28T17:38:57  7.532e+02  7.412e-01  4.374e-01
   62  2015-07-28T17:38:59  8.596e+02  7.409e-01  1.474e+00
   63  2015-07-28T17:39:00  7.518e+02  7.405e-01  4.397e-01
   64  2015-07-28T17:39:01  7.497e+02  7.395e-01  4.350e-01
   65  2015-07-28T17:39:03  7.464e+02  7.379e-01  4.346e-01
   66  2015-07-28T17:39:04  7.401e+02  7.348e-01  4.342e-01
   67  2015-07-28T17:39:05  7.195e+02  7.243e-01  4.337e-01
   68  2015-07-28T17:39:06  1.165e+03  7.216e-01  2.919e+00
   69  2015-07-28T17:39:07  7.177e+02  7.234e-01  4.337e-01
   70  2015-07-28T17:39:09  7.530e+02  7.104e-01  1.143e+00
   71  2015-07-28T17:39:10  7.077e+02  7.183e-01  4.340e-01
   72  2015-07-28T17:39:11  7.571e+02  7.071e-01  1.225e+00
   73  2015-07-28T17:39:12  7.014e+02  7.150e-01  4.364e-01
   74  2015-07-28T17:39:13  3.055e+03  7.069e-01  6.633e+00
   75  2015-07-28T17:39:15  7.014e+02  7.150e-01  4.364e-01
   76  2015-07-28T17:39:16  1.570e+03  7.110e-01  4.049e+00
   77  2015-07-28T17:39:17  6.995e+02  7.139e-01  4.387e-01
   78  2015-07-28T17:39:18  6.959e+02  7.121e-01  4.381e-01
   79  2015-07-28T17:39:20  6.897e+02  7.089e-01  4.346e-01
   80  2015-07-28T17:39:21  6.998e+02  7.104e-01  5.687e-01
   81  2015-07-28T17:39:22  6.850e+02  7.062e-01  4.457e-01
   82  2015-07-28T17:39:23  6.816e+02  7.011e-01  5.623e-01
   83  2015-07-28T17:39:24  6.811e+02  7.034e-01  4.735e-01
   84  2015-07-28T17:39:26  6.719e+02  6.984e-01  4.808e-01
   85  2015-07-28T17:39:27  1.247e+03  9.566e-01  4.337e-01
   86  2015-07-28T17:39:28  6.715e+02  6.982e-01  4.815e-01
   87  2015-07-28T17:39:29  6.703e+02  6.967e-01  5.096e-01
   88  2015-07-28T17:39:30  6.708e+02  6.862e-01  7.946e-01
   89  2015-07-28T17:39:31  6.631e+02  6.899e-01  6.015e-01
   90  2015-07-28T17:39:32  7.542e+02  7.283e-01  8.282e-01
   91  2015-07-28T17:39:34  6.587e+02  6.857e-01  6.525e-01
   92  2015-07-28T17:39:35  6.591e+02  6.835e-01  7.124e-01
   93  2015-07-28T17:39:36  6.573e+02  6.839e-01  6.800e-01
   94  2015-07-28T17:39:37  8.878e+02  7.792e-01  1.113e+00
   95  2015-07-28T17:39:38  6.567e+02  6.832e-01  6.880e-01
   96  2015-07-28T17:39:39  6.563e+02  6.832e-01  6.825e-01
   97  2015-07-28T17:39:40  6.546e+02  6.830e-01  6.646e-01
   98  2015-07-28T17:39:41  6.518e+02  6.838e-01  6.038e-01
   99  2015-07-28T17:39:43  6.500e+02  6.836e-01  5.810e-01
Saving checkpoint data.
  100  2015-07-28T17:39:44  6.497e+02  6.838e-01  5.685e-01
  101  2015-07-28T17:39:45  6.475e+02  6.831e-01  5.540e-01
  102  2015-07-28T17:39:46  6.510e+02  6.850e-01  5.543e-01
  103  2015-07-28T17:39:47  6.466e+02  6.826e-01  5.551e-01
  104  2015-07-28T17:39:49  6.445e+02  6.813e-01  5.594e-01
  105  2015-07-28T17:39:50  6.888e+02  6.959e-01  7.927e-01
  106  2015-07-28T17:39:50  6.435e+02  6.805e-01  5.663e-01
  107  2015-07-28T17:39:52  6.565e+02  6.816e-01  7.256e-01
  108  2015-07-28T17:39:53  6.423e+02  6.794e-01  5.822e-01
  109  2015-07-28T17:39:54  6.397e+02  6.772e-01  6.028e-01
  110  2015-07-28T17:39:55  6.374e+02  6.745e-01  6.426e-01
  111  2015-07-28T17:39:57  6.356e+02  6.734e-01  6.457e-01
  112  2015-07-28T17:39:58  6.294e+02  6.742e-01  5.259e-01
  113  2015-07-28T17:39:59  6.325e+02  6.720e-01  6.369e-01
  114  2015-07-28T17:40:00  6.240e+02  6.699e-01  5.656e-01
  115  2015-07-28T17:40:01  1.146e+03  9.168e-01  4.137e-01
  116  2015-07-28T17:40:02  6.237e+02  6.698e-01  5.628e-01
  117  2015-07-28T17:40:03  6.220e+02  6.699e-01  5.318e-01
  118  2015-07-28T17:40:04  6.258e+02  6.726e-01  5.116e-01
  119  2015-07-28T17:40:06  6.215e+02  6.698e-01  5.261e-01
  120  2015-07-28T17:40:07  6.205e+02  6.695e-01  5.171e-01
  121  2015-07-28T17:40:08  6.163e+02  6.681e-01  4.854e-01
